FeedbackID,EmployeeID,Date,FeedbackText,Sentiment
6d3e98eb-aab2-4060-829f-a72eb45f8a9b,d85264b7-130e-4f14-970d-b80f9f87f4c4,2024-04-02,"Great team environment, love working here.",Positive
ad6dcff9-dcd6-4b22-94f8-ce50917c53ce,d85264b7-130e-4f14-970d-b80f9f87f4c4,2025-07-02,The benefits package is competitive but could improve on health coverage.,Neutral
c29102a9-6b53-4c7f-be67-f47e530e5885,d85264b7-130e-4f14-970d-b80f9f87f4c4,2025-07-11,The current management style is very supportive.,Positive
bec47742-66c6-4945-b977-efd54a92adb7,0756f919-39b6-4378-a8b0-33707bc84ccf,2025-04-05,The benefits package is competitive but could improve on health coverage.,Neutral
f5b90be2-3af7-4765-94ec-9c3ccfe1a795,0756f919-39b6-4378-a8b0-33707bc84ccf,2025-08-11,"Great team environment, love working here.",Positive
b888e851-f85f-41dc-a58a-3704291fe905,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2023-10-11,We need better tools to handle the increased workload.,Negative
d82b7db0-27c8-4455-ac6d-a4135c42c355,0d205fb6-4ff1-4243-8a06-e774efadaa12,2026-07-24,I feel overlooked for promotions despite my hard work.,Negative
be78bdf7-0d29-426d-9601-93cc02b998ae,0d205fb6-4ff1-4243-8a06-e774efadaa12,2026-07-25,I feel that I need more challenging projects to grow.,Neutral
614cc287-9da6-49c3-b945-88eedd72e415,7005687a-9bf2-49a1-ada1-97c42963f3ed,2021-02-14,Communication between departments could be improved.,Negative
db14d8ff-a9be-4a20-89c6-ca1196d0e5d0,7005687a-9bf2-49a1-ada1-97c42963f3ed,2025-09-02,The benefits package is competitive but could improve on health coverage.,Neutral
ccd503b3-eb99-4b6a-8ee7-6d52c48cab40,7e265d70-9188-4135-8f84-55b39076442e,2025-12-21,We need better tools to handle the increased workload.,Negative
06bbf944-ff97-4144-aaec-cef88e05d3e3,7e265d70-9188-4135-8f84-55b39076442e,2026-05-16,The benefits package is competitive but could improve on health coverage.,Neutral
79f26b09-6c2c-4e94-a683-bb3442cc1c82,ddf2f671-973b-4de9-afc4-04e64c763b88,2023-08-29,I feel overlooked for promotions despite my hard work.,Negative
61fec6e3-31f3-4c95-9869-20fd78d5e968,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2018-03-23,I feel that I need more challenging projects to grow.,Neutral
4842782a-65df-43f1-9de3-bab407fa64c4,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2024-01-30,"Great team environment, love working here.",Positive
020e1168-8458-4ea9-9db9-d0b9d538a3cd,8565ea1d-4f56-4a49-b00a-1ff7618021be,2026-05-18,"Great team environment, love working here.",Positive
f3422c74-69d0-4179-a956-00150cc05cb3,8565ea1d-4f56-4a49-b00a-1ff7618021be,2026-05-27,We need better tools to handle the increased workload.,Negative
6a0c41dd-93b8-417f-8373-6d6ec4fb4f5b,8565ea1d-4f56-4a49-b00a-1ff7618021be,2026-05-24,I am very happy with the recent changes in remote work policy.,Positive
11e5b0b4-2a74-4c2b-a49f-3b4878254390,75540a9f-e62c-4345-88b2-726080c8100d,2020-05-11,We need better tools to handle the increased workload.,Negative
d6ab4950-d4ab-4170-a2d4-a29dbcfd020f,75540a9f-e62c-4345-88b2-726080c8100d,2019-07-12,I am very happy with the recent changes in remote work policy.,Positive
0a104d7a-a712-45f0-9641-155ef18d7d8a,75540a9f-e62c-4345-88b2-726080c8100d,2017-12-09,I appreciate the continuous learning opportunities provided.,Positive
f54d0e5b-8db8-4754-8798-8a6bd3890238,a21c8a2b-18ab-4040-b6ca-9d87668287e2,2026-06-01,I feel that I need more challenging projects to grow.,Neutral
5bb68ecf-da65-4aa1-a21e-8a804f9490eb,a21c8a2b-18ab-4040-b6ca-9d87668287e2,2022-05-17,Sometimes I feel micromanaged by leadership.,Negative
b72e6de0-40db-4a01-a2d3-6ca1b79c0635,a21c8a2b-18ab-4040-b6ca-9d87668287e2,2025-03-02,I feel that I need more challenging projects to grow.,Neutral
e6a2ad9f-2e20-4893-b900-b06281e645ef,f29a8f01-0ea3-45f6-a563-5ab88bd21740,2026-07-22,The benefits package is competitive but could improve on health coverage.,Neutral
906ef978-362b-43be-acd1-100cdb962868,0dc34f7f-1c7f-4008-9b7a-8c416421e4fa,2016-12-15,The current management style is very supportive.,Positive
cf20f8b0-3ec1-464f-8d76-59615f310cca,8763f813-0fd1-448e-ae96-bd0f6be5d249,2020-12-18,The current management style is very supportive.,Positive
db774c28-e736-45f8-adfc-0bb293e8b37f,8763f813-0fd1-448e-ae96-bd0f6be5d249,2020-11-15,I appreciate the continuous learning opportunities provided.,Positive
16ced102-a83b-47b2-9032-33ac6992346a,8763f813-0fd1-448e-ae96-bd0f6be5d249,2022-05-18,I appreciate the continuous learning opportunities provided.,Positive
cbc530e2-bf88-42a1-9238-66e28b376693,526dd8a4-62c4-44d0-8e3b-c6005383a6e8,2025-09-11,"Great team environment, love working here.",Positive
1368a4b6-13e1-4877-96a7-9d485361d464,0a372f95-d7ee-49d9-a2df-e7ddf82290de,2022-05-21,The current management style is very supportive.,Positive
d920d275-1d78-4d10-a084-e4ccc29fd7b5,630716e5-012e-462e-997f-4bddc29d22c6,2026-03-23,I appreciate the continuous learning opportunities provided.,Positive
47bba070-1edd-4299-ab53-01e91894eb48,630716e5-012e-462e-997f-4bddc29d22c6,2023-05-05,I feel overlooked for promotions despite my hard work.,Negative
2dc19277-50ac-4d10-9e3d-b14e8dd1e306,630716e5-012e-462e-997f-4bddc29d22c6,2023-07-14,I feel overlooked for promotions despite my hard work.,Negative
1bb6cd26-9608-439e-b904-80e606fafcb0,543b70df-c750-4d2d-8b42-9ad31bebe5d1,2026-02-28,We need better tools to handle the increased workload.,Negative
4d29614b-fe7e-414d-9b6f-9758ea7230eb,543b70df-c750-4d2d-8b42-9ad31bebe5d1,2026-05-19,I appreciate the continuous learning opportunities provided.,Positive
59373858-bf0f-4959-9e4e-6f59f7bf4ec8,8a6cb659-c889-4932-ba72-818cd81574f2,2025-03-04,I feel overlooked for promotions despite my hard work.,Negative
f104e21d-27da-4109-842f-ed321782301d,8a6cb659-c889-4932-ba72-818cd81574f2,2025-10-02,Communication between departments could be improved.,Negative
7c9f2b0f-fa64-47c8-9b2a-b70fc99ada0b,8a6cb659-c889-4932-ba72-818cd81574f2,2023-10-14,The current management style is very supportive.,Positive
6efb5dfa-00f5-48d6-b963-ead23e0e60b8,74376a27-d9d0-49bf-9c83-bc4ab403c567,2022-11-30,"Great team environment, love working here.",Positive
7817f39b-4252-4aec-a2d0-095c00488bca,74376a27-d9d0-49bf-9c83-bc4ab403c567,2025-01-09,I am very happy with the recent changes in remote work policy.,Positive
3e2c47f3-0898-426e-94b1-541d31b63c57,74376a27-d9d0-49bf-9c83-bc4ab403c567,2025-10-25,We need better tools to handle the increased workload.,Negative
531689e6-6abb-45f8-9683-e9ea5034fc01,00c00a8f-b622-4a76-9e00-ce938c614b1d,2022-05-26,"Great team environment, love working here.",Positive
8622ce3c-fbab-4c28-ae13-0ff2859eda97,4433f642-09a1-4035-a78c-a2ccd919d61e,2026-05-16,I am very happy with the recent changes in remote work policy.,Positive
25480916-e06f-4a86-a9dc-c65c9b6052c4,4433f642-09a1-4035-a78c-a2ccd919d61e,2017-02-15,The current management style is very supportive.,Positive
8f521974-472e-4dcb-bc10-264935c0fec8,4433f642-09a1-4035-a78c-a2ccd919d61e,2020-07-06,"Great team environment, love working here.",Positive
249d4a8f-ff4d-4d0c-b23a-6c1206252639,dc9895f6-cdf4-4d24-b2ae-243f43b91385,2021-12-13,I feel overlooked for promotions despite my hard work.,Negative
fc06a1d7-d759-4562-bbf6-356f8fe2ba3e,dc9895f6-cdf4-4d24-b2ae-243f43b91385,2022-01-30,The current management style is very supportive.,Positive
8d85f4c7-1c54-42c8-960a-3dc3255f6cc1,dc9895f6-cdf4-4d24-b2ae-243f43b91385,2025-02-02,The benefits package is competitive but could improve on health coverage.,Neutral
ab28d19e-c11d-47c5-8d8c-cc2de5c89be9,2e30c9a4-5232-45c6-bd48-e95d079c2f48,2025-04-06,I appreciate the continuous learning opportunities provided.,Positive
165f5ef1-485e-4a03-9eef-3872d64368a4,2e30c9a4-5232-45c6-bd48-e95d079c2f48,2025-03-11,The benefits package is competitive but could improve on health coverage.,Neutral
48050558-a7ec-454e-b205-f6796d0d7593,2e30c9a4-5232-45c6-bd48-e95d079c2f48,2024-12-13,Sometimes I feel micromanaged by leadership.,Negative
6f84a348-f00a-45fc-b368-6550de0cb049,0446c1e5-ad03-41bd-ab1f-dfd883f524dc,2026-07-14,I feel that I need more challenging projects to grow.,Neutral
1f5f8b34-e236-4ff6-b1b4-1e1e7aa416e5,0446c1e5-ad03-41bd-ab1f-dfd883f524dc,2026-06-30,I appreciate the continuous learning opportunities provided.,Positive
56d3a470-67f9-4973-910b-06f6ffe73484,0446c1e5-ad03-41bd-ab1f-dfd883f524dc,2026-07-07,"Great team environment, love working here.",Positive
64bbdfce-caee-4a54-969b-22f168ec4796,2c96d918-aa1b-41cb-b9aa-f807ad8d789e,2026-06-27,I am very happy with the recent changes in remote work policy.,Positive
0d5d28b0-c967-47bb-a7e6-8e14c5db17ca,2c96d918-aa1b-41cb-b9aa-f807ad8d789e,2023-12-23,The benefits package is competitive but could improve on health coverage.,Neutral
3a3984fa-f050-4123-b6c7-4be0db108c21,456c7c4e-8d4d-4bfc-bc77-8e985bd62a93,2017-09-27,We need better tools to handle the increased workload.,Negative
97a28e4c-081e-4c2a-828a-a334fa799087,5aa6d796-b898-4b8b-8db4-92f492653467,2019-12-30,"Great team environment, love working here.",Positive
63221067-5721-456e-a04f-0ff7f7d479e9,5aa6d796-b898-4b8b-8db4-92f492653467,2021-08-29,Sometimes I feel micromanaged by leadership.,Negative
17f6d70c-447c-423a-bac4-e673481c8732,da753927-de44-4e0d-9307-126a419b2d50,2025-11-06,I appreciate the continuous learning opportunities provided.,Positive
c2c917b8-3174-47c2-935b-cd384ecce553,da753927-de44-4e0d-9307-126a419b2d50,2019-02-08,Sometimes I feel micromanaged by leadership.,Negative
c2f7bbb7-a563-4e6d-9042-7da3d526ebd8,da753927-de44-4e0d-9307-126a419b2d50,2021-04-30,I feel overlooked for promotions despite my hard work.,Negative
97ade1c7-53b4-4d45-a5a6-bdd22d934782,5ddbdf87-d237-4781-919f-4f16173784ea,2019-04-27,The benefits package is competitive but could improve on health coverage.,Neutral
04ffb608-7f08-4b37-8706-f94a82a32e1d,5ddbdf87-d237-4781-919f-4f16173784ea,2025-05-02,Communication between departments could be improved.,Negative
1457810a-f956-4e26-806d-cf8826bbf83c,df8c0789-d679-4bbc-ad61-e54c0aa8945d,2023-09-05,I appreciate the continuous learning opportunities provided.,Positive
b2c7590b-f315-479e-88f6-3c5f12531bf2,df8c0789-d679-4bbc-ad61-e54c0aa8945d,2024-03-27,Sometimes I feel micromanaged by leadership.,Negative
8c84aee4-3658-4848-9616-6892c9cd6234,33cc38fb-8b13-4389-82c8-e22e8e93085d,2023-09-14,The current management style is very supportive.,Positive
9b1d5982-806b-4bcb-881c-2c597a5ef038,33cc38fb-8b13-4389-82c8-e22e8e93085d,2022-08-04,The current management style is very supportive.,Positive
a84e0cda-dc2c-4e8d-8a87-a00d7ab0c963,33cc38fb-8b13-4389-82c8-e22e8e93085d,2025-08-05,I feel that I need more challenging projects to grow.,Neutral
54e6c8b9-e28b-46b0-a9d7-6a7805b6136b,4fa58af1-b9a9-4357-b44e-39101f2b7306,2022-04-29,I am very happy with the recent changes in remote work policy.,Positive
8aaab33b-a589-4ab7-b467-5c8add3868c7,4fa58af1-b9a9-4357-b44e-39101f2b7306,2018-09-24,I feel overlooked for promotions despite my hard work.,Negative
fb42ba6d-b4ea-4b12-9ae7-76315d023d84,85130bdf-9b69-4030-bc14-b7ccf9677cd8,2017-05-24,The current management style is very supportive.,Positive
d28cd0b7-86ea-4a1d-9701-8286c63d279a,85130bdf-9b69-4030-bc14-b7ccf9677cd8,2018-04-26,Communication between departments could be improved.,Negative
573c827d-4d65-4629-9f03-dd111be1cbc9,b1ba7560-9137-4c27-b0a7-8b9ce2c2eaf9,2024-09-14,"Great team environment, love working here.",Positive
4933bc20-5232-47d7-8a65-718d5301b4d9,b1ba7560-9137-4c27-b0a7-8b9ce2c2eaf9,2024-05-01,I appreciate the continuous learning opportunities provided.,Positive
73528636-76e3-4e16-9a37-4bdc9a74bfe5,3d584bcc-df1a-498e-b5c3-3a353cc6ad8d,2025-10-16,I am very happy with the recent changes in remote work policy.,Positive
07027f97-c840-4bfe-87a3-327389437c0a,3d584bcc-df1a-498e-b5c3-3a353cc6ad8d,2026-06-01,Sometimes I feel micromanaged by leadership.,Negative
ac0b943c-ccb5-4650-b224-25b03c06ea92,8e425a5e-469f-4a68-b63b-007238d79179,2017-04-14,I feel overlooked for promotions despite my hard work.,Negative
f9b9c260-479d-4397-a2ad-d2a9916a70a4,fe370fa3-8228-487f-a9a4-11df92fc4e20,2021-02-25,I feel overlooked for promotions despite my hard work.,Negative
75c22d2a-469b-489e-81d6-c0baab5d2cd0,b7befe44-6ce5-41ec-83b8-20a70ace89b9,2023-10-11,The current management style is very supportive.,Positive
a1fe6398-c9c9-4835-b639-bf10146c9d0c,d4c22a55-0471-4827-8f15-a62d3856bf3b,2024-09-22,I am very happy with the recent changes in remote work policy.,Positive
22ec3a0e-bb94-4955-8e86-7485b4b1ebd9,d4c22a55-0471-4827-8f15-a62d3856bf3b,2025-10-23,I feel overlooked for promotions despite my hard work.,Negative
